vigencia_desde,tope_maximo,base_minima,estado,fuente
2024-05,2058653.24,63344.42,verificado,Res. ANSES 97/2024
2024-06,2240768.09,68948.01,verificado,Res. ANSES 188/2024
2024-07,2335020.44,71848.39,verificado,Res. ANSES 320/2024
2024-08,2442115.86,75143.15,verificado,Res. ANSES 389/2024
2024-09,2540612.41,78173.08,verificado,Res. ANSES 588/2024
2024-10,2646852.7,81442.21,verificado,Res. ANSES 798/2024
2024-11,2738961.84,84277.15,verificado,Res. ANSES 936/2024
2024-12,2812875.34,86551.33,verificado,Res. ANSES 1152/2024
2025-01,2910574.49,89557.43,verificado,Res. ANSES 1247/2024
2025-02,2989160.0,91975.48,verificado,Res. ANSES 66/2025
2025-03,3055220.44,94008.14,verificado,Res. ANSES 145/2025
2025-04,3128545.73,96264.34,verificado,Res. ANSES 179/2025
2025-05,3245240.49,99855.0,verificado,Res. ANSES 211/2025
2025-06,3335458.18,102630.97,verificado,Res. ANSES 237/2025
2025-07,3385490.05,104170.43,verificado,Res. ANSES 251/2025
2025-08,3440334.99,105857.99,verificado,Res. ANSES 278/2025
2025-09,3505701.35,107869.29,verificado,Res. ANSES 298/2025
2025-10,3571608.54,109897.23,verificado,Res. ANSES 318/2025
2025-11,3645898.0,112183.09,verificado,Res. ANSES 344/2025
2025-12,3731212.01,114808.17,verificado,Res. ANSES 359/2025
2026-01,3823372.95,117643.93,verificado,"valor confirmado por el sindicato, corrige discontinuidad vs. marzo 2026"
2026-02,3932339.08,120996.78,verificado,"valor confirmado por el sindicato, corrige discontinuidad vs. marzo 2026"
2026-03,4045590.45,124481.49,verificado,Res. ANSES 38/2026
2026-04,4162912.57,128091.45,verificado,Res. ANSES 74/2026
2026-05,4303619.01,132420.94,verificado,Res. ANSES 110/2026
2026-06,4414652.38,135837.4,verificado,"ANSES movilidad 2,58% (confirmado por el sindicato)"
2026-07,4509567.41,138757.9,verificado,"ANSES movilidad 2,15%"
2026-08,4594798.23,141380.42,verificado,"ANSES movilidad 1,89%"
